Customer ID,Age,Gender,Purchase Amount (USD),Location,Season,Subscription Status,Payment Method,Previous Purchases,Preferred Payment Method,Frequency of Purchases
65,65,Male,83,Alabama,Fall,Yes,PayPal,18,Debit Card,Fortnightly
66,65,Male,36,New Jersey,Spring,Yes,Credit Card,44,Venmo,Every 3 Months
67,31,Male,94,Pennsylvania,Winter,Yes,Bank Transfer,3,Venmo,Every 3 Months
68,45,Male,33,Connecticut,Winter,Yes,PayPal,49,Debit Card,Monthly
69,57,Male,46,Utah,Summer,Yes,Credit Card,21,Cash,Every 3 Months
70,48,Male,70,Tennessee,Summer,Yes,Credit Card,5,Cash,Weekly
71,22,Male,29,Alabama,Fall,Yes,Credit Card,32,Debit Card,Every 3 Months
72,36,Male,48,Virginia,Summer,Yes,Debit Card,34,Bank Transfer,Annually
73,18,Male,26,Georgia,Winter,Yes,Debit Card,21,Bank Transfer,Every 3 Months
74,48,Male,85,Hawaii,Spring,Yes,Debit Card,43,Bank Transfer,Bi-Weekly
75,49,Male,58,Indiana,Spring,Yes,PayPal,3,Cash,Monthly
76,64,Male,85,Utah,Summer,Yes,Debit Card,21,Credit Card,Annually
77,50,Male,43,Delaware,Summer,Yes,Bank Transfer,32,Venmo,Monthly
78,22,Male,53,Delaware,Summer,Yes,Debit Card,36,Debit Card,Fortnightly
79,50,Male,91,Nebraska,Spring,Yes,Venmo,50,Venmo,Fortnightly
80,38,Male,96,Iowa,Winter,Yes,Bank Transfer,43,Bank Transfer,Every 3 Months
81,19,Male,72,New York,Summer,Yes,Credit Card,24,Credit Card,Every 3 Months
82,67,Male,96,Virginia,Summer,Yes,PayPal,36,Credit Card,Every 3 Months
83,19,Male,28,Georgia,Spring,Yes,Bank Transfer,21,Credit Card,Every 3 Months
84,36,Male,40,Texas,Summer,Yes,Debit Card,34,Bank Transfer,Weekly
85,52,Male,32,Arizona,Spring,Yes,Cash,42,Bank Transfer,Every 3 Months
86,53,Male,95,New Mexico,Winter,Yes,Credit Card,2,Debit Card,Bi-Weekly
87,24,Male,41,Nevada,Spring,Yes,Venmo,47,Cash,Bi-Weekly
88,52,Male,53,Ohio,Fall,Yes,Debit Card,44,Debit Card,Fortnightly
89,33,Male,47,Wyoming,Fall,Yes,Credit Card,35,Credit Card,Monthly
90,47,Male,83,California,Fall,Yes,Bank Transfer,15,Cash,Quarterly
91,25,Male,48,South Carolina,Summer,Yes,Venmo,29,Credit Card,Monthly
92,44,Male,99,South Carolina,Winter,Yes,PayPal,18,Credit Card,Every 3 Months
93,61,Male,87,Texas,Winter,Yes,Cash,13,Venmo,Every 3 Months
94,37,Male,62,Florida,Fall,Yes,PayPal,46,Credit Card,Weekly
95,58,Male,76,Nevada,Spring,Yes,Bank Transfer,28,Credit Card,Weekly
96,37,Male,100,Missouri,Fall,Yes,PayPal,48,PayPal,Monthly
97,32,Male,73,Delaware,Spring,Yes,Venmo,43,Venmo,Every 3 Months
98,21,Male,92,Virginia,Winter,Yes,PayPal,37,Cash,Annually
99,20,Male,67,New York,Spring,Yes,Cash,20,Bank Transfer,Annually
100,26,Male,40,Missouri,Summer,Yes,Cash,33,Debit Card,Quarterly
101,62,Male,98,South Dakota,Fall,Yes,PayPal,31,Cash,Fortnightly
102,27,Male,85,North Dakota,Spring,Yes,Venmo,50,Credit Card,Bi-Weekly
103,51,Male,67,Oklahoma,Winter,Yes,Credit Card,35,Credit Card,Quarterly
104,54,Male,89,West Virginia,Winter,Yes,Debit Card,22,Venmo,Bi-Weekly
105,55,Male,24,New Hampshire,Spring,Yes,Bank Transfer,1,PayPal,Monthly
106,69,Male,96,New York,Fall,Yes,Bank Transfer,4,Bank Transfer,Annually
107,64,Male,35,Minnesota,Summer,Yes,Cash,31,Credit Card,Monthly
108,28,Male,67,Maryland,Winter,Yes,Cash,46,PayPal,Fortnightly
109,70,Male,79,Montana,Spring,Yes,Bank Transfer,32,Bank Transfer,Bi-Weekly
110,58,Male,85,Alabama,Spring,Yes,Cash,43,Bank Transfer,Fortnightly
111,56,Male,26,New York,Summer,Yes,Bank Transfer,26,Venmo,Fortnightly
112,26,Male,75,Massachusetts,Summer,Yes,PayPal,9,Credit Card,Annually
113,37,Male,65,Florida,Spring,Yes,Credit Card,28,PayPal,Bi-Weekly
114,44,Male,54,New Jersey,Winter,Yes,Debit Card,20,PayPal,Quarterly
115,70,Male,95,Massachusetts,Summer,Yes,Venmo,9,Cash,Weekly
116,53,Male,94,Wyoming,Spring,Yes,Cash,48,Debit Card,Every 3 Months
117,55,Male,86,Virginia,Spring,Yes,PayPal,12,Venmo,Annually
118,50,Male,32,South Dakota,Summer,Yes,Bank Transfer,29,Cash,Fortnightly
119,50,Male,45,Kentucky,Fall,Yes,Bank Transfer,27,Cash,Bi-Weekly
120,38,Male,76,Wyoming,Fall,Yes,Debit Card,44,Cash,Annually
121,64,Male,84,West Virginia,Summer,Yes,PayPal,32,Bank Transfer,Annually
122,19,Male,72,Virginia,Winter,Yes,Cash,11,Cash,Fortnightly
123,40,Male,40,Washington,Spring,Yes,Credit Card,44,Cash,Fortnightly
124,57,Male,89,Louisiana,Fall,Yes,Debit Card,46,Cash,Weekly
125,44,Male,86,Nevada,Spring,Yes,PayPal,50,PayPal,Annually
126,49,Male,54,California,Winter,Yes,Cash,45,Venmo,Every 3 Months
127,43,Male,36,Mississippi,Spring,Yes,Bank Transfer,48,Cash,Every 3 Months
128,24,Male,89,Mississippi,Winter,Yes,Venmo,26,Credit Card,Weekly
129,20,Male,32,California,Spring,Yes,Venmo,21,Credit Card,Fortnightly
130,24,Male,67,Pennsylvania,Summer,Yes,Cash,49,PayPal,Bi-Weekly
131,44,Male,39,Kentucky,Fall,Yes,Credit Card,13,PayPal,Fortnightly
132,28,Male,29,Maine,Summer,Yes,PayPal,46,Credit Card,Weekly
133,30,Male,58,New Mexico,Fall,Yes,Bank Transfer,42,PayPal,Weekly
134,52,Male,65,Montana,Winter,Yes,Bank Transfer,25,Venmo,Annually
135,43,Male,94,Texas,Fall,Yes,Credit Card,25,Cash,Monthly
136,43,Male,81,Kansas,Fall,Yes,PayPal,12,PayPal,Quarterly
137,39,Male,86,South Carolina,Winter,Yes,Credit Card,4,Debit Card,Quarterly
138,68,Male,43,Colorado,Spring,Yes,Cash,38,PayPal,Weekly
139,68,Male,29,Georgia,Winter,Yes,Cash,42,Bank Transfer,Weekly
140,49,Male,95,Florida,Fall,Yes,Debit Card,30,Venmo,Annually
141,63,Male,28,North Carolina,Fall,Yes,Bank Transfer,50,Credit Card,Weekly
142,56,Male,46,Virginia,Fall,Yes,PayPal,45,PayPal,Weekly
143,37,Male,58,Nebraska,Fall,Yes,PayPal,33,Credit Card,Fortnightly
144,30,Male,48,Missouri,Fall,Yes,Bank Transfer,25,PayPal,Quarterly
145,19,Male,43,New Jersey,Fall,Yes,Credit Card,25,Cash,Monthly
146,24,Male,95,Missouri,Fall,Yes,Venmo,44,Debit Card,Quarterly
147,52,Male,30,Colorado,Fall,Yes,Debit Card,21,Venmo,Fortnightly
148,63,Male,64,Idaho,Summer,Yes,Bank Transfer,31,Bank Transfer,Fortnightly
149,37,Male,90,Wyoming,Fall,Yes,PayPal,47,Debit Card,Annually
150,38,Male,76,Delaware,Summer,Yes,Venmo,14,PayPal,Monthly
151,35,Male,96,California,Fall,Yes,Bank Transfer,17,Debit Card,Every 3 Months
152,28,Male,47,North Dakota,Fall,Yes,Debit Card,3,Venmo,Annually
153,30,Male,85,South Carolina,Summer,Yes,PayPal,42,Venmo,Annually
154,69,Male,55,North Carolina,Winter,Yes,Debit Card,22,Debit Card,Annually
155,41,Male,98,Oklahoma,Fall,Yes,Debit Card,21,Venmo,Quarterly
156,63,Male,77,Maine,Spring,Yes,Cash,21,Bank Transfer,Quarterly
157,35,Male,26,Missouri,Fall,Yes,Venmo,40,Debit Card,Annually
158,36,Male,68,Vermont,Fall,Yes,Debit Card,1,Bank Transfer,Fortnightly
159,25,Male,73,Connecticut,Fall,Yes,Bank Transfer,50,Bank Transfer,Monthly
160,58,Male,27,New Hampshire,Fall,Yes,Debit Card,39,Bank Transfer,Every 3 Months
161,27,Male,23,Texas,Summer,Yes,Bank Transfer,34,Venmo,Monthly
162,65,Male,49,North Dakota,Fall,Yes,Venmo,29,Venmo,Fortnightly
163,54,Male,74,California,Summer,Yes,Credit Card,31,PayPal,Bi-Weekly
164,54,Male,67,Virginia,Summer,Yes,PayPal,8,Debit Card,Weekly
165,59,Male,65,Delaware,Spring,Yes,Debit Card,5,Credit Card,Fortnightly
166,42,Male,60,Kentucky,Winter,Yes,Credit Card,7,Cash,Monthly
167,46,Male,31,Delaware,Fall,Yes,Cash,30,Cash,Monthly
168,33,Male,27,Arkansas,Fall,Yes,Venmo,14,Credit Card,Every 3 Months
169,34,Male,80,Louisiana,Summer,Yes,Bank Transfer,5,Cash,Fortnightly
170,27,Male,30,Nevada,Summer,Yes,Credit Card,3,PayPal,Every 3 Months
171,52,Male,25,Wyoming,Fall,Yes,Venmo,46,Venmo,Bi-Weekly
172,29,Male,35,Virginia,Summer,Yes,Debit Card,4,Credit Card,Weekly
173,54,Male,67,Nebraska,Summer,Yes,Bank Transfer,42,Credit Card,Bi-Weekly
174,25,Male,46,Hawaii,Fall,Yes,PayPal,30,Cash,Annually
175,41,Male,35,Vermont,Winter,Yes,Venmo,37,Venmo,Annually
176,53,Male,86,Oklahoma,Fall,Yes,Debit Card,2,Bank Transfer,Annually
177,53,Male,81,New Hampshire,Spring,Yes,Bank Transfer,30,Credit Card,Quarterly
178,21,Male,42,Kansas,Fall,Yes,Debit Card,47,Bank Transfer,Monthly
179,61,Male,43,Idaho,Fall,Yes,Debit Card,21,PayPal,Quarterly
180,64,Male,31,Illinois,Fall,Yes,Debit Card,9,Bank Transfer,Fortnightly
181,51,Male,81,South Dakota,Fall,Yes,Cash,12,Debit Card,Fortnightly
182,32,Male,61,Massachusetts,Summer,Yes,Venmo,4,Bank Transfer,Weekly
183,38,Male,96,Alabama,Summer,Yes,Venmo,10,Debit Card,Annually
184,58,Male,29,Ohio,Spring,Yes,Bank Transfer,26,Credit Card,Weekly
185,32,Male,33,Hawaii,Spring,Yes,Cash,40,Cash,Fortnightly
186,46,Male,32,Wisconsin,Summer,Yes,Bank Transfer,34,Bank Transfer,Fortnightly
187,39,Male,56,Minnesota,Summer,Yes,Debit Card,31,Debit Card,Annually
188,19,Male,94,Georgia,Spring,Yes,Credit Card,1,Bank Transfer,Bi-Weekly
189,50,Male,53,Arkansas,Spring,Yes,Credit Card,5,Bank Transfer,Bi-Weekly
190,36,Male,82,West Virginia,Fall,Yes,Venmo,4,Credit Card,Weekly
191,65,Male,70,Indiana,Fall,Yes,Venmo,48,Venmo,Quarterly
192,64,Male,76,Utah,Fall,Yes,Credit Card,29,Cash,Every 3 Months
193,46,Male,29,Nebraska,Summer,Yes,Venmo,12,PayPal,Bi-Weekly
194,36,Male,100,North Dakota,Fall,Yes,PayPal,29,Venmo,Annually
195,51,Male,94,Missouri,Spring,Yes,Venmo,15,Debit Card,Quarterly
196,51,Male,25,New York,Fall,Yes,Credit Card,34,Credit Card,Monthly
197,38,Male,88,Washington,Summer,Yes,Cash,41,Credit Card,Fortnightly
198,59,Male,78,South Carolina,Fall,Yes,Debit Card,41,Credit Card,Monthly
199,57,Male,45,Utah,Winter,Yes,Cash,39,Credit Card,Fortnightly
200,54,Male,73,Idaho,Summer,Yes,Debit Card,32,Cash,Weekly
201,25,Male,61,Pennsylvania,Summer,Yes,PayPal,29,Venmo,Monthly
202,69,Male,22,Missouri,Fall,Yes,Bank Transfer,15,Bank Transfer,Annually
203,57,Male,38,Nebraska,Spring,Yes,Bank Transfer,33,Venmo,Annually
204,70,Male,38,Indiana,Fall,Yes,PayPal,18,Bank Transfer,Weekly
205,24,Male,100,Arizona,Fall,Yes,PayPal,35,Cash,Bi-Weekly
206,67,Male,64,Hawaii,Winter,Yes,Bank Transfer,25,PayPal,Weekly
207,24,Male,55,Wisconsin,Summer,Yes,Venmo,6,Venmo,Fortnightly
208,62,Male,91,Rhode Island,Summer,Yes,Venmo,17,Bank Transfer,Bi-Weekly
209,57,Male,38,Wisconsin,Spring,Yes,Cash,17,Credit Card,Monthly
210,55,Male,97,Minnesota,Winter,Yes,Bank Transfer,44,Cash,Every 3 Months
211,45,Male,22,Vermont,Fall,Yes,Venmo,6,PayPal,Fortnightly
212,69,Male,92,South Dakota,Fall,Yes,Venmo,45,Debit Card,Fortnightly
213,67,Male,84,Virginia,Fall,Yes,Venmo,7,Debit Card,Annually
214,30,Male,93,Nevada,Fall,Yes,Cash,11,Debit Card,Every 3 Months
215,24,Male,50,Hawaii,Summer,Yes,Cash,41,Cash,Every 3 Months
216,62,Male,64,New Jersey,Spring,Yes,Bank Transfer,24,PayPal,Bi-Weekly
217,43,Male,61,Massachusetts,Spring,Yes,Cash,21,Venmo,Weekly
218,35,Male,48,Oklahoma,Winter,Yes,Venmo,24,Bank Transfer,Annually
219,28,Male,45,California,Spring,Yes,Credit Card,8,Credit Card,Quarterly
220,32,Male,88,Nevada,Spring,Yes,Venmo,12,Cash,Fortnightly
221,39,Male,57,Arizona,Spring,Yes,Debit Card,48,Debit Card,Fortnightly
222,28,Male,68,North Carolina,Summer,Yes,Debit Card,6,Bank Transfer,Quarterly
223,47,Male,94,New York,Spring,Yes,Venmo,14,PayPal,Fortnightly
224,20,Male,41,Wyoming,Spring,Yes,Venmo,34,PayPal,Annually
225,63,Male,83,South Dakota,Summer,Yes,PayPal,12,Cash,Every 3 Months
226,25,Male,22,Arkansas,Spring,Yes,Debit Card,11,Bank Transfer,Annually
227,29,Male,74,Texas,Spring,Yes,Cash,5,PayPal,Monthly
228,50,Male,90,Rhode Island,Winter,Yes,Venmo,25,Venmo,Fortnightly
229,18,Male,79,New Hampshire,Spring,Yes,Credit Card,11,Credit Card,Annually
230,70,Male,28,Ohio,Spring,Yes,Cash,27,PayPal,Every 3 Months
231,66,Male,88,Utah,Fall,Yes,Venmo,43,Credit Card,Annually
232,28,Male,26,Tennessee,Spring,Yes,Bank Transfer,18,Debit Card,Every 3 Months
233,54,Male,27,Hawaii,Winter,Yes,Bank Transfer,32,Bank Transfer,Bi-Weekly
234,19,Male,83,Arizona,Fall,Yes,PayPal,27,Bank Transfer,Every 3 Months
235,20,Male,39,South Dakota,Summer,Yes,PayPal,24,Credit Card,Weekly
236,43,Male,89,New Jersey,Winter,Yes,Cash,31,Debit Card,Quarterly
237,38,Male,68,North Dakota,Winter,Yes,Debit Card,39,PayPal,Fortnightly
238,50,Male,90,Iowa,Summer,Yes,Venmo,36,Debit Card,Fortnightly
239,64,Male,34,Ohio,Fall,Yes,Debit Card,5,Cash,Annually
240,49,Male,51,Vermont,Summer,Yes,PayPal,47,Credit Card,Bi-Weekly
241,47,Male,45,Montana,Winter,Yes,Credit Card,29,Bank Transfer,Fortnightly
242,36,Male,88,Delaware,Winter,Yes,PayPal,43,Venmo,Bi-Weekly
243,55,Male,85,New York,Summer,Yes,Credit Card,40,Debit Card,Every 3 Months
244,25,Male,100,Kentucky,Winter,Yes,Credit Card,4,Debit Card,Monthly
245,53,Male,42,Oregon,Spring,Yes,Debit Card,39,PayPal,Weekly
246,49,Male,53,Rhode Island,Summer,Yes,Cash,45,Venmo,Fortnightly
247,35,Male,86,Nevada,Spring,Yes,Credit Card,20,Venmo,Bi-Weekly
248,29,Male,66,Montana,Spring,Yes,Credit Card,14,Debit Card,Weekly
249,47,Male,100,Pennsylvania,Winter,Yes,Venmo,33,PayPal,Weekly
250,53,Male,47,Alaska,Fall,Yes,Cash,18,Credit Card,Annually
251,33,Male,25,Mississippi,Fall,Yes,Debit Card,9,Bank Transfer,Weekly
252,21,Male,51,Wyoming,Winter,Yes,PayPal,34,PayPal,Annually
253,32,Male,41,Delaware,Summer,Yes,Cash,33,Venmo,Fortnightly
254,52,Male,73,Oklahoma,Winter,Yes,PayPal,15,Bank Transfer,Bi-Weekly
255,67,Male,42,Indiana,Winter,Yes,Credit Card,4,PayPal,Bi-Weekly
256,43,Male,20,Maryland,Spring,Yes,Debit Card,25,Debit Card,Annually
257,58,Male,30,South Dakota,Spring,Yes,Venmo,20,Credit Card,Every 3 Months
258,20,Male,53,West Virginia,Summer,Yes,PayPal,5,Credit Card,Quarterly
259,61,Male,74,Alabama,Spring,Yes,Venmo,16,Cash,Quarterly
260,32,Male,57,Louisiana,Fall,Yes,Credit Card,13,Debit Card,Annually
261,38,Male,57,Montana,Winter,Yes,Bank Transfer,11,Credit Card,Every 3 Months
262,21,Male,77,California,Winter,Yes,Cash,21,Credit Card,Annually
263,37,Male,40,Hawaii,Summer,Yes,Cash,6,Debit Card,Annually
264,27,Male,46,Iowa,Summer,Yes,Credit Card,29,Venmo,Monthly
265,36,Male,78,Colorado,Fall,Yes,Venmo,15,Cash,Annually
266,32,Male,59,Michigan,Spring,Yes,Venmo,17,Bank Transfer,Bi-Weekly
267,51,Male,75,Louisiana,Summer,Yes,Cash,32,Credit Card,Weekly
268,64,Male,54,Maryland,Spring,Yes,Venmo,42,Venmo,Annually
269,68,Male,42,Georgia,Spring,Yes,Venmo,21,Cash,Monthly
270,68,Male,44,Georgia,Winter,Yes,PayPal,9,Cash,Bi-Weekly
271,33,Male,52,North Dakota,Fall,Yes,Debit Card,16,Bank Transfer,Annually
272,65,Male,69,Maryland,Summer,Yes,Credit Card,42,Credit Card,Fortnightly
273,48,Male,26,Oregon,Summer,Yes,PayPal,37,Debit Card,Bi-Weekly
274,69,Male,33,North Dakota,Spring,Yes,Cash,32,Debit Card,Quarterly
275,59,Male,32,Maryland,Spring,Yes,Credit Card,28,Cash,Bi-Weekly
276,48,Male,85,Virginia,Winter,Yes,Debit Card,13,Credit Card,Weekly
277,25,Male,30,South Dakota,Fall,Yes,Debit Card,11,Bank Transfer,Fortnightly
278,29,Male,29,Georgia,Winter,Yes,Credit Card,36,Bank Transfer,Bi-Weekly
279,57,Male,95,Hawaii,Spring,Yes,Bank Transfer,23,Debit Card,Annually
280,23,Male,69,Arkansas,Summer,Yes,Credit Card,37,Bank Transfer,Monthly
281,45,Male,69,Montana,Fall,Yes,Debit Card,21,Cash,Bi-Weekly
282,38,Male,61,Oklahoma,Spring,Yes,Bank Transfer,22,Debit Card,Bi-Weekly
283,21,Male,94,Minnesota,Summer,Yes,Debit Card,9,Cash,Monthly
284,32,Male,30,Montana,Fall,Yes,Debit Card,16,Venmo,Annually
285,63,Male,45,Ohio,Summer,Yes,PayPal,4,PayPal,Quarterly
286,29,Male,39,Kentucky,Summer,Yes,Credit Card,3,Debit Card,Bi-Weekly
287,27,Male,51,Nebraska,Summer,Yes,Cash,6,Debit Card,Annually
288,56,Male,37,Delaware,Spring,Yes,Cash,18,Venmo,Fortnightly
289,30,Male,62,North Carolina,Winter,Yes,Credit Card,34,Venmo,Bi-Weekly
290,49,Male,85,New York,Fall,Yes,Debit Card,26,Credit Card,Monthly
291,58,Male,33,Colorado,Winter,Yes,Bank Transfer,50,PayPal,Weekly
292,57,Male,26,Delaware,Fall,Yes,Credit Card,40,Bank Transfer,Monthly
293,60,Male,99,Utah,Spring,Yes,Credit Card,24,Cash,Quarterly
294,69,Male,39,Connecticut,Spring,Yes,PayPal,33,PayPal,Annually
295,70,Male,20,New Jersey,Spring,Yes,Cash,19,Credit Card,Every 3 Months
296,53,Male,42,West Virginia,Winter,Yes,Venmo,24,Credit Card,Quarterly
297,25,Male,74,Indiana,Spring,Yes,PayPal,19,Credit Card,Weekly
298,48,Male,26,Delaware,Summer,Yes,Bank Transfer,4,Credit Card,Bi-Weekly
299,69,Male,53,Maryland,Winter,Yes,Cash,11,Venmo,Every 3 Months
300,25,Male,80,Pennsylvania,Summer,Yes,Credit Card,28,PayPal,Fortnightly
301,29,Male,98,Iowa,Spring,Yes,Cash,24,PayPal,Weekly
302,46,Male,95,Pennsylvania,Spring,Yes,Debit Card,25,Credit Card,Every 3 Months
303,37,Male,44,Delaware,Summer,Yes,Venmo,27,Bank Transfer,Every 3 Months
304,20,Male,60,Oregon,Summer,Yes,Cash,49,Venmo,Weekly
305,40,Male,84,Oregon,Winter,Yes,Venmo,45,Credit Card,Bi-Weekly
306,60,Male,59,Utah,Fall,Yes,Debit Card,26,PayPal,Annually
307,26,Male,49,North Dakota,Summer,Yes,Debit Card,4,Cash,Annually
308,29,Male,32,Florida,Winter,Yes,Cash,3,Credit Card,Every 3 Months
309,66,Male,29,Maryland,Fall,Yes,Bank Transfer,45,Venmo,Bi-Weekly
310,66,Male,22,Minnesota,Spring,Yes,Bank Transfer,21,Cash,Fortnightly
311,56,Male,85,Montana,Winter,Yes,Debit Card,50,Cash,Fortnightly
312,69,Male,52,Rhode Island,Winter,Yes,Debit Card,19,Bank Transfer,Monthly
313,38,Male,89,Massachusetts,Spring,Yes,Bank Transfer,6,PayPal,Annually
314,42,Male,77,Vermont,Spring,Yes,PayPal,50,Credit Card,Every 3 Months
315,30,Male,24,New Jersey,Summer,Yes,PayPal,17,Debit Card,Every 3 Months
316,66,Male,24,Wisconsin,Spring,Yes,Venmo,24,Debit Card,Annually
317,36,Male,22,California,Fall,Yes,Bank Transfer,46,Venmo,Monthly
318,58,Male,82,West Virginia,Fall,Yes,Bank Transfer,42,Cash,Every 3 Months
319,45,Male,67,South Dakota,Winter,Yes,PayPal,10,Cash,Annually
320,47,Male,74,Maine,Spring,Yes,Venmo,1,Cash,Every 3 Months
321,66,Male,72,Kansas,Summer,Yes,PayPal,28,Debit Card,Quarterly
322,41,Male,36,Vermont,Summer,Yes,Credit Card,48,Debit Card,Quarterly
323,41,Male,95,Tennessee,Winter,Yes,Credit Card,47,Credit Card,Monthly
324,66,Male,78,Tennessee,Winter,Yes,Venmo,29,PayPal,Bi-Weekly
325,37,Male,82,Wyoming,Summer,Yes,Credit Card,37,Venmo,Quarterly
326,70,Male,70,Vermont,Winter,Yes,Debit Card,38,Debit Card,Annually
327,62,Male,41,New Jersey,Fall,Yes,Cash,48,Bank Transfer,Weekly
328,61,Male,42,Iowa,Summer,Yes,PayPal,36,PayPal,Weekly
329,48,Male,50,Florida,Fall,Yes,Debit Card,9,Credit Card,Weekly
330,70,Male,31,Nevada,Summer,Yes,Debit Card,34,Bank Transfer,Monthly
